apiurl,domain,family,title,required_params,optional_params,response_field_count
"/future/m013/intra_date","future","m013","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m013/intra_info","future","m013","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m013/term_hist_info","future","m013","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m013/tick_info","future","m013","체결정보","cust_id, auth_key, jcode","","25"
"/future/m016/basic_info","future","m016","기본정보","cust_id, auth_key, jcode","","39"
"/future/m016/basic_info_port","future","m016","기본정보","cust_id, auth_key, codelist","","39"
"/future/m016/code_info","future","m016","코드정보","cust_id, auth_key","","8"
"/future/m016/hist_info","future","m016","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m016/hoga_info","future","m016","호가정보","cust_id, auth_key, jcode","","24"
"/future/m016/intra_date","future","m016","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m016/intra_info","future","m016","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m016/invest_basic_info","future","m016","기본정보","cust_id, auth_key","","40"
"/future/m016/invest_hist_info","future","m016","기본정보","cust_id, auth_key, sdate, edate","","41"
"/future/m016/invest_intra_info","future","m016","주기정보(30초)","cust_id, auth_key","","41"
"/future/m016/term_hist_info","future","m016","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m016/tick_info","future","m016","체결정보","cust_id, auth_key, jcode","","25"
"/future/m017/basic_info","future","m017","기본정보","cust_id, auth_key, jcode","","39"
"/future/m017/basic_info_port","future","m017","기본정보","cust_id, auth_key, codelist","","39"
"/future/m017/code_info","future","m017","코드정보","cust_id, auth_key","","8"
"/future/m017/hist_info","future","m017","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m017/hoga_info","future","m017","호가정보","cust_id, auth_key, jcode","","24"
"/future/m017/intra_date","future","m017","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m017/intra_info","future","m017","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m017/invest_basic_info","future","m017","기본정보","cust_id, auth_key","","40"
"/future/m017/invest_hist_info","future","m017","기본정보","cust_id, auth_key, sdate, edate","","41"
"/future/m017/invest_intra_info","future","m017","주기정보(30초)","cust_id, auth_key","","41"
"/future/m017/term_hist_info","future","m017","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m017/tick_info","future","m017","체결정보","cust_id, auth_key, jcode","","25"
"/future/m018/basic_info","future","m018","기본정보","cust_id, auth_key, jcode","","38"
"/future/m018/basic_info_port","future","m018","기본정보","cust_id, auth_key, codelist","","38"
"/future/m018/code_info","future","m018","코드정보","cust_id, auth_key","","8"
"/future/m018/hist_info","future","m018","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m018/hoga_info","future","m018","호가정보","cust_id, auth_key, jcode","","24"
"/future/m018/intra_date","future","m018","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
